"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,6120,"s_waitcnt lgkmcnt(0)",32768,2391053,2358285,0,""
2,6124,"s_barrier",32768,739443,31874,0,""
2,6128,"v_fmac_f32_e32 v27, v5, v19",32768,32768,0,0,""
2,6132,"buffer_gl0_inv",32768,32768,0,593413,""
2,6140,"v_add_co_u32 v10, s1, v10, 64",32768,32768,0,296183,""
2,6148,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_2) | instid1(SALU_CYCLE_1)",0,0,0,0,""
2,6152,"v_add_co_ci_u32_e64 v11, null, 0, v11, s1",32768,54199,21431,134725,""
2,6160,"v_fmac_f32_e32 v27, v6, v16",32768,33807,1039,18871,""
2,6164,"s_add_i32 s8, s8, 16",32768,32768,0,515849,""
2,6168,"s_cmpk_eq_i32 s8, 0x408",32768,34352,1584,32782,""
2,6172,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_3) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6176,"v_fmac_f32_e32 v27, v7, v17",32768,32768,0,22085,""
2,6180,"ds_load_b128 v[4:7], v24",32768,136554,103786,578281,""
2,6188,"ds_load_2addr_b32 v[16:17], v28 offset1:8",32768,32768,0,41463,""
2,6196,"v_fmac_f32_e32 v27, v0, v14",32768,32768,0,894714,""
2,6200,"v_fmac_f32_e32 v27, v1, v15",32768,32768,0,143426,""
2,6204,"ds_load_2addr_b32 v[14:15], v28 offset0:16 offset1:24",32768,32768,0,612382,""
2,6212,"v_fmac_f32_e32 v27, v2, v12",32768,32768,0,847914,""
2,6216,"s_delay_alu instid0(VALU_DEP_1) | instskip(SKIP_4) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6220,"v_fmac_f32_e32 v27, v3, v13",32768,32768,0,141015,""
2,6224,"ds_load_b128 v[0:3], v24 offset:16",32768,69911,37143,566123,""
2,6232,"ds_load_2addr_b32 v[12:13], v28 offset0:32 offset1:40",32768,32768,0,23959,""
2,6240,"s_waitcnt lgkmcnt(3)",32768,213116,180348,0,""
2,6244,"v_fmac_f32_e32 v27, v4, v16",32768,32768,0,674178,""
2,6248,"v_fmac_f32_e32 v27, v5, v17",32768,32768,0,139977,""
2,6252,"ds_load_2addr_b32 v[4:5], v28 offset0:48 offset1:56",32768,32768,0,619545,""
2,6260,"s_waitcnt lgkmcnt(0)",32768,2796074,2763306,0,""
2,6264,"s_barrier",32768,651308,34775,0,""
2,6268,"buffer_gl0_inv",32768,32768,0,0,""
2,6276,"v_fmac_f32_e32 v27, v6, v14",32768,32768,0,266899,""
2,6280,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6284,"v_fmac_f32_e32 v27, v7, v15",32768,32768,0,150054,""
2,6288,"v_fmac_f32_e32 v27, v0, v12",32768,32768,0,152043,""
2,6292,"s_delay_alu instid0(VALU_DEP_1) | instskip(NEXT) | instid1(VALU_DEP_1)",0,0,0,0,""
2,6296,"v_fmac_f32_e32 v27, v1, v13",32768,32768,0,155588,""
2,6300,"v_fmac_f32_e32 v27, v2, v4",32768,32768,0,160101,""
2,6304,"s_delay_alu instid0(VALU_DEP_1)",0,0,0,0,""
2,6308,"v_fmac_f32_e32 v27, v3, v5",32768,49504,16736,138755,""
