Metric,Value
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00055882
design_powergrid__voltage__worst,0.00055882
design_powergrid__voltage__worst__net:VPWR,1.79935
design_powergrid__drop__worst,0.000650548
design_powergrid__drop__worst__net:VPWR,0.000650548
design_powergrid__voltage__worst__net:VGND,0.00055882
design_powergrid__drop__worst__net:VGND,0.00055882
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00008500000000000000610622663543836097232997417449951171875
ir__drop__worst,0.000650999999999999994469701558585938983014784753322601318359375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
